players
R Sharma
A Singh
T Boult
J Bumrah
R Chahar
N Coulter-Nile
Q Kock
D Deshmukh
I Kishan
D Kulkarni
C Lynn
M McClenaghan
M Khan
H Pandya
K Pandya
J Pattinson
K Pollard
P Rai
A Roy
S Rutherford
A Tare
S Tiwary
J Yadav
S Yadav
